amount,chargable_Amount_eur,created_dates,due_dates,status,client_data.email,client_company,client_company_country,client_country,product_category,invoice_type,invoice_category,min_date,date_delta_days,license_or_service,web_link,Late Days,Late Months,Payment Status,due_past,country,Outstanding_Amount_eur,Paid_Amount,Products,due_dts_adj,revenue_last_Twelve_month
"€ 45,131.00",45131,25-04-2022,22-05-2022,active,client@company1892.com,company1892,AS,AS,Product B,recurring,Product B-recurring-license,25-04-2022,0,license,https://company.com/?id=6271,35,1,Overdue,"€ 45,131.00",AS,"€ 45,131.00",0,Product B,22-05-2025,"€ 4,21,072.23"
"€ 7,071.00",7071,31-05-2022,19-06-2022,active,client@company2206.com,company2206,AS,AS,Product B,new,Product B-new-license,31-05-2022,0,license,https://company.com/?id=7180,63,2,Overdue,"€ 7,071.00",AS,"€ 7,071.00",0,Product B,19-06-2025,"€ 32,243.76"
"€ 27,441.00",27441,02-03-2022,29-03-2022,active,client@company1572.com,company1572,BS,BS,Product B,recurring,Product B-recurring-license,02-03-2022,0,license,https://company.com/?id=673,-19,-1,Overdue,"€ 27,441.00",BS,"€ 27,441.00",0,Product B,29-03-2025,"€ 2,67,824.16"
"€ 26,646.00",26646,29-04-2022,19-05-2022,active,client@company1489.com,company1489,BS,BS,Product B,new,Product B-new-license,29-04-2022,0,license,https://company.com/?id=4480,32,1,Overdue,"€ 26,646.00",BS,"€ 26,646.00",0,Product B,19-05-2025,"€ 1,07,649.84"
"€ 35,688.00",35688,03-06-2022,01-07-2022,active,client@company952.com,company952,VE,VE,Product B,new,Product B-new-license,03-06-2022,0,license,https://company.com/?id=1174,75,3,Overdue,"€ 35,688.00",VE,"€ 35,688.00",0,Product B,01-07-2025,"€ 3,32,969.04"
"€ 43,900.00",43900,16-05-2022,12-06-2022,active,client@company976.com,company976,MV,MV,Product B,recurring,Product B-recurring-license,16-05-2022,0,license,https://company.com/?id=2758,56,2,Overdue,"€ 43,900.00",MV,"€ 43,900.00",0,Product B,12-06-2025,"€ 3,44,615.00"
"€ 4,521.00",4521,30-05-2022,27-06-2022,active,client@company959.com,company959,KW,KW,Product B,recurring,Product B-recurring-license,30-05-2022,0,license,https://company.com/?id=7079,71,2,Overdue,"€ 4,521.00",KW,"€ 4,521.00",0,Product B,27-06-2025,"€ 19,530.72"
"€ 12,838.00",12838,19-04-2022,17-05-2022,active,client@company1369.com,company1369,PM,PM,Product B,new,Product B-new-license,19-04-2022,0,license,https://company.com/?id=4697,30,1,Overdue,"€ 12,838.00",PM,"€ 12,838.00",0,Product B,17-05-2025,"€ 14,121.80"
"€ 42,062.00",42062,19-05-2022,15-06-2022,active,client@company1997.com,company1997,EE,EE,Product B,recurring,Product B-recurring-license,19-05-2022,0,license,https://company.com/?id=8366,59,2,Overdue,"€ 42,062.00",EE,"€ 42,062.00",0,Product B,15-06-2025,"€ 3,52,058.94"
"€ 43,849.00",43849,01-06-2022,28-06-2022,active,client@company2052.com,company2052,HT,HT,Product B,new,Product B-new-license,01-06-2022,0,license,https://company.com/?id=6881,72,2,Overdue,"€ 43,849.00",HT,"€ 43,849.00",0,Product B,28-06-2025,"€ 3,10,012.43"
"€ 27,504.00",27504,27-05-2022,23-06-2022,active,client@company1994.com,company1994,MO,MO,Product B,new,Product B-new-license,27-05-2022,0,license,https://company.com/?id=2157,67,2,Overdue,"€ 27,504.00",MO,"€ 27,504.00",0,Product B,23-06-2025,"€ 2,43,410.40"
"€ 1,331.00",1331,09-05-2022,04-06-2022,active,client@company1790.com,company1790,BD,BD,Product B,new,Product B-new-license,09-05-2022,0,license,https://company.com/?id=2229,48,2,Overdue,"€ 1,331.00",BD,"€ 1,331.00",0,Product B,04-06-2025,"€ 3,114.54"
"€ 6,902.00",6902,01-06-2022,01-07-2022,active,client@company510.com,company510,MS,MS,Product B,new,Product B-new-license,01-06-2022,0,license,https://company.com/?id=4435,75,3,Overdue,"€ 6,902.00",MS,"€ 6,902.00",0,Product B,01-07-2025,"€ 64,188.60"
"€ 10,528.00",10528,31-05-2022,14-06-2022,active,client@company2152.com,company2152,SE,SE,Product B,new,Product B-new-license,31-05-2022,0,license,https://company.com/?id=6166,58,2,Overdue,"€ 10,528.00",SE,"€ 10,528.00",0,Product B,14-06-2025,"€ 73,801.28"
